INVENTORY_BALANCE_ID,PRODUCT_ID,SITE_ID,WAREHOUSE_ZONE_ID,BALANCE_DATE,QUANTITY_ON_HAND,QUANTITY_RESERVED,QUANTITY_AVAILABLE,UNIT_OF_MEASURE
55,91,4,402,2024-09-01,609,57,552,EACH
56,100,5,503,2024-09-01,885,257,628,EACH
57,100,4,402,2024-09-01,1305,156,1149,EACH
58,100,4,401,2024-09-01,442,16,426,EACH
59,100,3,303,2024-09-01,193,19,174,EACH
60,100,3,302,2024-09-01,695,116,579,EACH
61,110,5,503,2024-09-01,988,68,920,EACH
62,110,4,405,2024-09-01,801,230,571,EACH
63,110,5,501,2024-09-01,1103,183,920,EACH
64,110,5,504,2024-09-01,485,42,443,EACH
65,110,4,402,2024-09-01,926,9,917,EACH
66,120,3,304,2024-09-01,144,37,107,EACH
67,120,5,505,2024-09-01,1133,86,1047,EACH
68,120,5,503,2024-09-01,352,46,306,EACH
69,120,3,303,2024-09-01,1432,405,1027,EACH
70,120,5,504,2024-09-01,176,24,152,EACH
71,130,5,502,2024-09-01,1316,24,1292,EACH
72,130,4,401,2024-09-01,1455,55,1400,EACH
73,130,4,405,2024-09-01,1438,428,1010,EACH
74,130,5,501,2024-09-01,140,3,137,EACH
75,130,3,301,2024-09-01,337,53,284,EACH
76,140,4,404,2024-09-01,1071,78,993,EACH
77,140,4,403,2024-09-01,520,2,518,EACH
78,140,3,302,2024-09-01,716,107,609,EACH
79,140,4,405,2024-09-01,1455,51,1404,EACH
80,140,4,401,2024-09-01,1456,266,1190,EACH
81,150,4,401,2024-09-01,314,65,249,EACH
82,150,5,501,2024-09-01,1365,60,1305,EACH
83,150,5,504,2024-09-01,678,29,649,EACH
84,150,3,303,2024-09-01,317,63,254,EACH
85,150,4,403,2024-09-01,506,51,455,EACH
86,160,5,504,2024-09-01,939,151,788,EACH
87,160,4,401,2024-09-01,428,10,418,EACH
88,160,4,405,2024-09-01,1222,254,968,EACH
89,160,3,304,2024-09-01,525,123,402,EACH
90,160,4,402,2024-09-01,777,60,717,EACH
91,170,3,301,2024-09-01,1275,342,933,EACH
92,170,5,505,2024-09-01,1111,76,1035,EACH
93,170,5,502,2024-09-01,284,65,219,EACH
94,170,3,302,2024-09-01,253,12,241,EACH
95,170,5,503,2024-09-01,624,164,460,EACH
96,171,3,304,2024-09-01,202,6,196,EACH
97,171,4,404,2024-09-01,457,10,447,EACH
98,171,4,401,2024-09-01,695,92,603,EACH
99,171,5,503,2024-09-01,1486,160,1326,EACH
100,171,5,504,2024-09-01,972,59,913,EACH
101,180,3,302,2024-09-01,1458,331,1127,EACH
102,180,5,504,2024-09-01,449,84,365,EACH
103,180,3,301,2024-09-01,832,228,604,EACH
104,180,5,503,2024-09-01,996,137,859,EACH
105,180,3,303,2024-09-01,290,47,243,EACH
106,190,5,505,2024-09-01,919,233,686,EACH
107,190,4,402,2024-09-01,656,98,558,EACH
108,190,3,303,2024-09-01,1079,215,864,EACH
109,190,3,302,2024-09-01,1428,408,1020,EACH
110,190,4,403,2024-09-01,441,28,413,EACH
111,191,3,303,2024-09-01,312,53,259,EACH
112,191,5,503,2024-09-01,1309,247,1062,EACH
113,191,5,504,2024-09-01,1265,347,918,EACH
114,191,3,301,2024-09-01,997,92,905,EACH
115,191,5,505,2024-09-01,1351,194,1157,EACH
116,200,5,504,2024-09-01,1089,249,840,EACH
117,200,4,402,2024-09-01,331,52,279,EACH
118,200,5,501,2024-09-01,1002,23,979,EACH
119,200,3,301,2024-09-01,229,33,196,EACH
120,200,3,303,2024-09-01,1441,160,1281,EACH
121,201,3,301,2024-09-01,1257,114,1143,EACH
122,201,5,503,2024-09-01,1471,173,1298,EACH
123,201,5,502,2024-09-01,1163,267,896,EACH
124,201,4,405,2024-09-01,1366,48,1318,EACH
125,201,5,501,2024-09-01,986,127,859,EACH
126,210,4,404,2024-09-01,404,107,297,EACH
127,210,4,402,2024-09-01,1243,313,930,EACH
128,210,5,502,2024-09-01,211,1,210,EACH
129,210,5,503,2024-09-01,1417,80,1337,EACH
130,210,4,403,2024-09-01,1135,240,895,EACH
131,220,5,505,2024-09-01,756,61,695,EACH
132,220,4,404,2024-09-01,777,71,706,EACH
133,220,3,303,2024-09-01,203,32,171,EACH
134,220,3,302,2024-09-01,556,140,416,EACH
135,220,5,504,2024-09-01,1417,193,1224,EACH
136,230,4,403,2024-09-01,1273,229,1044,EACH
137,230,3,304,2024-09-01,280,63,217,EACH
138,230,3,302,2024-09-01,1015,161,854,EACH
139,230,4,404,2024-09-01,343,63,280,EACH
140,230,5,502,2024-09-01,1438,9,1429,EACH
141,231,3,302,2024-09-01,1224,0,1224,EACH
142,231,4,403,2024-09-01,286,77,209,EACH
143,231,5,504,2024-09-01,1367,326,1041,EACH
144,231,3,301,2024-09-01,723,130,593,EACH
145,231,4,405,2024-09-01,1251,105,1146,EACH
146,240,5,502,2024-09-01,211,28,183,EACH
147,240,5,505,2024-09-01,1030,169,861,EACH
148,240,4,404,2024-09-01,1247,317,930,EACH
149,240,4,402,2024-09-01,1328,242,1086,EACH
150,240,5,504,2024-09-01,1445,186,1259,EACH
