DEMAND_FORECAST_ID,PRODUCT_ID,SITE_ID,FORECAST_DATE,FORECAST_CREATION_DATE,FORECAST_QUANTITY,FORECAST_TYPE,FORECAST_METHOD,FORECAST_HORIZON,CONFIDENCE_LEVEL,SCENARIO_ID,FISCAL_PERIOD,FISCAL_MONTH,FISCAL_QUARTER,FISCAL_YEAR,UNIT_REVENUE
57,20,3,2024-07-15,2024-07-01,741,DEMAND,STATISTICAL,MONTHLY,0.8,3,FY24-JUL,July,Q3,2024,449.99
58,20,3,2024-08-15,2024-07-01,1525,DEMAND,STATISTICAL,MONTHLY,0.9,1,FY24-AUG,August,Q3,2024,449.99
59,20,3,2024-08-15,2024-07-01,1716,DEMAND,STATISTICAL,MONTHLY,0.77,2,FY24-AUG,August,Q3,2024,449.99
60,20,3,2024-08-15,2024-07-01,1372,DEMAND,STATISTICAL,MONTHLY,0.88,3,FY24-AUG,August,Q3,2024,449.99
61,20,3,2024-09-15,2024-07-01,2223,DEMAND,STATISTICAL,MONTHLY,0.88,1,FY24-SEP,September,Q3,2024,449.99
62,20,3,2024-09-15,2024-07-01,2513,DEMAND,STATISTICAL,MONTHLY,0.78,2,FY24-SEP,September,Q3,2024,449.99
63,20,3,2024-09-15,2024-07-01,2001,DEMAND,STATISTICAL,MONTHLY,0.9,3,FY24-SEP,September,Q3,2024,449.99
64,20,3,2024-10-15,2024-07-01,1845,DEMAND,STATISTICAL,MONTHLY,0.94,1,FY24-OCT,October,Q4,2024,449.99
65,20,3,2024-10-15,2024-07-01,2476,DEMAND,STATISTICAL,MONTHLY,0.93,2,FY24-OCT,October,Q4,2024,449.99
66,20,3,2024-10-15,2024-07-01,1660,DEMAND,STATISTICAL,MONTHLY,0.87,3,FY24-OCT,October,Q4,2024,449.99
67,20,3,2024-11-15,2024-07-01,1725,DEMAND,STATISTICAL,MONTHLY,0.75,1,FY24-NOV,November,Q4,2024,449.99
68,20,3,2024-11-15,2024-07-01,2317,DEMAND,STATISTICAL,MONTHLY,0.93,2,FY24-NOV,November,Q4,2024,449.99
69,20,3,2024-11-15,2024-07-01,1552,DEMAND,STATISTICAL,MONTHLY,0.92,3,FY24-NOV,November,Q4,2024,449.99
70,20,3,2024-12-15,2024-07-01,1298,DEMAND,STATISTICAL,MONTHLY,0.8,1,FY24-DEC,December,Q4,2024,449.99
71,20,3,2024-12-15,2024-07-01,1654,DEMAND,STATISTICAL,MONTHLY,0.86,2,FY24-DEC,December,Q4,2024,449.99
72,20,3,2024-12-15,2024-07-01,1169,DEMAND,STATISTICAL,MONTHLY,0.77,3,FY24-DEC,December,Q4,2024,449.99
73,20,4,2024-07-15,2024-07-01,1998,DEMAND,STATISTICAL,MONTHLY,0.85,1,FY24-JUL,July,Q3,2024,449.99
74,20,4,2024-07-15,2024-07-01,2205,DEMAND,STATISTICAL,MONTHLY,0.9,2,FY24-JUL,July,Q3,2024,449.99
75,20,4,2024-07-15,2024-07-01,1798,DEMAND,STATISTICAL,MONTHLY,0.9,3,FY24-JUL,July,Q3,2024,449.99
76,20,4,2024-08-15,2024-07-01,762,DEMAND,STATISTICAL,MONTHLY,0.88,1,FY24-AUG,August,Q3,2024,449.99
77,20,4,2024-08-15,2024-07-01,874,DEMAND,STATISTICAL,MONTHLY,0.78,2,FY24-AUG,August,Q3,2024,449.99
78,20,4,2024-08-15,2024-07-01,686,DEMAND,STATISTICAL,MONTHLY,0.86,3,FY24-AUG,August,Q3,2024,449.99
79,20,4,2024-09-15,2024-07-01,1742,DEMAND,STATISTICAL,MONTHLY,0.83,1,FY24-SEP,September,Q3,2024,449.99
80,20,4,2024-09-15,2024-07-01,1935,DEMAND,STATISTICAL,MONTHLY,0.86,2,FY24-SEP,September,Q3,2024,449.99
81,20,4,2024-09-15,2024-07-01,1568,DEMAND,STATISTICAL,MONTHLY,0.9,3,FY24-SEP,September,Q3,2024,449.99
82,20,4,2024-10-15,2024-07-01,1048,DEMAND,STATISTICAL,MONTHLY,0.89,1,FY24-OCT,October,Q4,2024,449.99
83,20,4,2024-10-15,2024-07-01,1351,DEMAND,STATISTICAL,MONTHLY,0.88,2,FY24-OCT,October,Q4,2024,449.99
84,20,4,2024-10-15,2024-07-01,943,DEMAND,STATISTICAL,MONTHLY,0.82,3,FY24-OCT,October,Q4,2024,449.99
85,20,4,2024-11-15,2024-07-01,2693,DEMAND,STATISTICAL,MONTHLY,0.85,1,FY24-NOV,November,Q4,2024,449.99
86,20,4,2024-11-15,2024-07-01,3399,DEMAND,STATISTICAL,MONTHLY,0.79,2,FY24-NOV,November,Q4,2024,449.99
87,20,4,2024-11-15,2024-07-01,2424,DEMAND,STATISTICAL,MONTHLY,0.82,3,FY24-NOV,November,Q4,2024,449.99
88,20,4,2024-12-15,2024-07-01,1960,DEMAND,STATISTICAL,MONTHLY,0.86,1,FY24-DEC,December,Q4,2024,449.99
89,20,4,2024-12-15,2024-07-01,2565,DEMAND,STATISTICAL,MONTHLY,0.75,2,FY24-DEC,December,Q4,2024,449.99
90,20,4,2024-12-15,2024-07-01,1764,DEMAND,STATISTICAL,MONTHLY,0.89,3,FY24-DEC,December,Q4,2024,449.99
91,20,5,2024-07-15,2024-07-01,744,DEMAND,STATISTICAL,MONTHLY,0.8,1,FY24-JUL,July,Q3,2024,449.99
92,20,5,2024-07-15,2024-07-01,852,DEMAND,STATISTICAL,MONTHLY,0.92,2,FY24-JUL,July,Q3,2024,449.99
93,20,5,2024-07-15,2024-07-01,670,DEMAND,STATISTICAL,MONTHLY,0.76,3,FY24-JUL,July,Q3,2024,449.99
94,20,5,2024-08-15,2024-07-01,1184,DEMAND,STATISTICAL,MONTHLY,0.81,1,FY24-AUG,August,Q3,2024,449.99
95,20,5,2024-08-15,2024-07-01,1332,DEMAND,STATISTICAL,MONTHLY,0.86,2,FY24-AUG,August,Q3,2024,449.99
96,20,5,2024-08-15,2024-07-01,1066,DEMAND,STATISTICAL,MONTHLY,0.89,3,FY24-AUG,August,Q3,2024,449.99
97,20,5,2024-09-15,2024-07-01,2768,DEMAND,STATISTICAL,MONTHLY,0.86,1,FY24-SEP,September,Q3,2024,449.99
98,20,5,2024-09-15,2024-07-01,3111,DEMAND,STATISTICAL,MONTHLY,0.91,2,FY24-SEP,September,Q3,2024,449.99
99,20,5,2024-09-15,2024-07-01,2492,DEMAND,STATISTICAL,MONTHLY,0.91,3,FY24-SEP,September,Q3,2024,449.99
100,20,5,2024-10-15,2024-07-01,1227,DEMAND,STATISTICAL,MONTHLY,0.77,1,FY24-OCT,October,Q4,2024,449.99
101,20,5,2024-10-15,2024-07-01,1614,DEMAND,STATISTICAL,MONTHLY,0.82,2,FY24-OCT,October,Q4,2024,449.99
102,20,5,2024-10-15,2024-07-01,1104,DEMAND,STATISTICAL,MONTHLY,0.83,3,FY24-OCT,October,Q4,2024,449.99
103,20,5,2024-11-15,2024-07-01,3131,DEMAND,STATISTICAL,MONTHLY,0.9,1,FY24-NOV,November,Q4,2024,449.99
104,20,5,2024-11-15,2024-07-01,4125,DEMAND,STATISTICAL,MONTHLY,0.95,2,FY24-NOV,November,Q4,2024,449.99
105,20,5,2024-11-15,2024-07-01,2818,DEMAND,STATISTICAL,MONTHLY,0.77,3,FY24-NOV,November,Q4,2024,449.99
106,20,5,2024-12-15,2024-07-01,1827,DEMAND,STATISTICAL,MONTHLY,0.9,1,FY24-DEC,December,Q4,2024,449.99
107,20,5,2024-12-15,2024-07-01,2430,DEMAND,STATISTICAL,MONTHLY,0.77,2,FY24-DEC,December,Q4,2024,449.99
108,20,5,2024-12-15,2024-07-01,1644,DEMAND,STATISTICAL,MONTHLY,0.79,3,FY24-DEC,December,Q4,2024,449.99
109,30,3,2024-07-15,2024-07-01,1598,DEMAND,STATISTICAL,MONTHLY,0.84,1,FY24-JUL,July,Q3,2024,799.99
110,30,3,2024-07-15,2024-07-01,1792,DEMAND,STATISTICAL,MONTHLY,0.81,2,FY24-JUL,July,Q3,2024,799.99
111,30,3,2024-07-15,2024-07-01,1438,DEMAND,STATISTICAL,MONTHLY,0.8,3,FY24-JUL,July,Q3,2024,799.99
112,30,3,2024-08-15,2024-07-01,2390,DEMAND,STATISTICAL,MONTHLY,0.77,1,FY24-AUG,August,Q3,2024,799.99
113,30,3,2024-08-15,2024-07-01,2726,DEMAND,STATISTICAL,MONTHLY,0.92,2,FY24-AUG,August,Q3,2024,799.99
114,30,3,2024-08-15,2024-07-01,2151,DEMAND,STATISTICAL,MONTHLY,0.77,3,FY24-AUG,August,Q3,2024,799.99
115,30,3,2024-09-15,2024-07-01,1835,DEMAND,STATISTICAL,MONTHLY,0.95,1,FY24-SEP,September,Q3,2024,799.99
116,30,3,2024-09-15,2024-07-01,2095,DEMAND,STATISTICAL,MONTHLY,0.94,2,FY24-SEP,September,Q3,2024,799.99
117,30,3,2024-09-15,2024-07-01,1652,DEMAND,STATISTICAL,MONTHLY,0.94,3,FY24-SEP,September,Q3,2024,799.99
118,30,3,2024-10-15,2024-07-01,2574,DEMAND,STATISTICAL,MONTHLY,0.8,1,FY24-OCT,October,Q4,2024,799.99
119,30,3,2024-10-15,2024-07-01,3322,DEMAND,STATISTICAL,MONTHLY,0.85,2,FY24-OCT,October,Q4,2024,799.99
120,30,3,2024-10-15,2024-07-01,2316,DEMAND,STATISTICAL,MONTHLY,0.92,3,FY24-OCT,October,Q4,2024,799.99
121,30,3,2024-11-15,2024-07-01,2700,DEMAND,STATISTICAL,MONTHLY,0.76,1,FY24-NOV,November,Q4,2024,799.99
122,30,3,2024-11-15,2024-07-01,3478,DEMAND,STATISTICAL,MONTHLY,0.95,2,FY24-NOV,November,Q4,2024,799.99
123,30,3,2024-11-15,2024-07-01,2430,DEMAND,STATISTICAL,MONTHLY,0.8,3,FY24-NOV,November,Q4,2024,799.99
124,30,3,2024-12-15,2024-07-01,2421,DEMAND,STATISTICAL,MONTHLY,0.91,1,FY24-DEC,December,Q4,2024,799.99
125,30,3,2024-12-15,2024-07-01,3095,DEMAND,STATISTICAL,MONTHLY,0.89,2,FY24-DEC,December,Q4,2024,799.99
126,30,3,2024-12-15,2024-07-01,2179,DEMAND,STATISTICAL,MONTHLY,0.9,3,FY24-DEC,December,Q4,2024,799.99
127,30,4,2024-07-15,2024-07-01,2104,DEMAND,STATISTICAL,MONTHLY,0.86,1,FY24-JUL,July,Q3,2024,799.99
128,30,4,2024-07-15,2024-07-01,2390,DEMAND,STATISTICAL,MONTHLY,0.78,2,FY24-JUL,July,Q3,2024,799.99
129,30,4,2024-07-15,2024-07-01,1894,DEMAND,STATISTICAL,MONTHLY,0.81,3,FY24-JUL,July,Q3,2024,799.99
130,30,4,2024-08-15,2024-07-01,2483,DEMAND,STATISTICAL,MONTHLY,0.76,1,FY24-AUG,August,Q3,2024,799.99
131,30,4,2024-08-15,2024-07-01,2823,DEMAND,STATISTICAL,MONTHLY,0.76,2,FY24-AUG,August,Q3,2024,799.99
132,30,4,2024-08-15,2024-07-01,2235,DEMAND,STATISTICAL,MONTHLY,0.81,3,FY24-AUG,August,Q3,2024,799.99
133,30,4,2024-09-15,2024-07-01,602,DEMAND,STATISTICAL,MONTHLY,0.87,1,FY24-SEP,September,Q3,2024,799.99
134,30,4,2024-09-15,2024-07-01,677,DEMAND,STATISTICAL,MONTHLY,0.92,2,FY24-SEP,September,Q3,2024,799.99
135,30,4,2024-09-15,2024-07-01,542,DEMAND,STATISTICAL,MONTHLY,0.78,3,FY24-SEP,September,Q3,2024,799.99
136,30,4,2024-10-15,2024-07-01,2837,DEMAND,STATISTICAL,MONTHLY,0.85,1,FY24-OCT,October,Q4,2024,799.99
137,30,4,2024-10-15,2024-07-01,3788,DEMAND,STATISTICAL,MONTHLY,0.76,2,FY24-OCT,October,Q4,2024,799.99
138,30,4,2024-10-15,2024-07-01,2553,DEMAND,STATISTICAL,MONTHLY,0.76,3,FY24-OCT,October,Q4,2024,799.99
139,30,4,2024-11-15,2024-07-01,2605,DEMAND,STATISTICAL,MONTHLY,0.8,1,FY24-NOV,November,Q4,2024,799.99
140,30,4,2024-11-15,2024-07-01,3287,DEMAND,STATISTICAL,MONTHLY,0.93,2,FY24-NOV,November,Q4,2024,799.99
141,30,4,2024-11-15,2024-07-01,2344,DEMAND,STATISTICAL,MONTHLY,0.8,3,FY24-NOV,November,Q4,2024,799.99
142,30,4,2024-12-15,2024-07-01,1975,DEMAND,STATISTICAL,MONTHLY,0.76,1,FY24-DEC,December,Q4,2024,799.99
143,30,4,2024-12-15,2024-07-01,2484,DEMAND,STATISTICAL,MONTHLY,0.88,2,FY24-DEC,December,Q4,2024,799.99
144,30,4,2024-12-15,2024-07-01,1777,DEMAND,STATISTICAL,MONTHLY,0.86,3,FY24-DEC,December,Q4,2024,799.99
145,30,5,2024-07-15,2024-07-01,1376,DEMAND,STATISTICAL,MONTHLY,0.94,1,FY24-JUL,July,Q3,2024,799.99
146,30,5,2024-07-15,2024-07-01,1528,DEMAND,STATISTICAL,MONTHLY,0.89,2,FY24-JUL,July,Q3,2024,799.99
147,30,5,2024-07-15,2024-07-01,1239,DEMAND,STATISTICAL,MONTHLY,0.8,3,FY24-JUL,July,Q3,2024,799.99
148,30,5,2024-08-15,2024-07-01,1572,DEMAND,STATISTICAL,MONTHLY,0.78,1,FY24-AUG,August,Q3,2024,799.99
149,30,5,2024-08-15,2024-07-01,1780,DEMAND,STATISTICAL,MONTHLY,0.84,2,FY24-AUG,August,Q3,2024,799.99
150,30,5,2024-08-15,2024-07-01,1415,DEMAND,STATISTICAL,MONTHLY,0.94,3,FY24-AUG,August,Q3,2024,799.99
151,30,5,2024-09-15,2024-07-01,2899,DEMAND,STATISTICAL,MONTHLY,0.76,1,FY24-SEP,September,Q3,2024,799.99
152,30,5,2024-09-15,2024-07-01,3256,DEMAND,STATISTICAL,MONTHLY,0.95,2,FY24-SEP,September,Q3,2024,799.99
153,30,5,2024-09-15,2024-07-01,2609,DEMAND,STATISTICAL,MONTHLY,0.95,3,FY24-SEP,September,Q3,2024,799.99
154,30,5,2024-10-15,2024-07-01,897,DEMAND,STATISTICAL,MONTHLY,0.86,1,FY24-OCT,October,Q4,2024,799.99
155,30,5,2024-10-15,2024-07-01,1167,DEMAND,STATISTICAL,MONTHLY,0.78,2,FY24-OCT,October,Q4,2024,799.99
156,30,5,2024-10-15,2024-07-01,807,DEMAND,STATISTICAL,MONTHLY,0.82,3,FY24-OCT,October,Q4,2024,799.99
157,30,5,2024-11-15,2024-07-01,883,DEMAND,STATISTICAL,MONTHLY,0.93,1,FY24-NOV,November,Q4,2024,799.99
158,30,5,2024-11-15,2024-07-01,1137,DEMAND,STATISTICAL,MONTHLY,0.78,2,FY24-NOV,November,Q4,2024,799.99
159,30,5,2024-11-15,2024-07-01,795,DEMAND,STATISTICAL,MONTHLY,0.92,3,FY24-NOV,November,Q4,2024,799.99
160,30,5,2024-12-15,2024-07-01,2677,DEMAND,STATISTICAL,MONTHLY,0.81,1,FY24-DEC,December,Q4,2024,799.99
161,30,5,2024-12-15,2024-07-01,3610,DEMAND,STATISTICAL,MONTHLY,0.91,2,FY24-DEC,December,Q4,2024,799.99
162,30,5,2024-12-15,2024-07-01,2409,DEMAND,STATISTICAL,MONTHLY,0.86,3,FY24-DEC,December,Q4,2024,799.99
163,31,3,2024-07-15,2024-07-01,1867,DEMAND,STATISTICAL,MONTHLY,0.91,1,FY24-JUL,July,Q3,2024,919.99
164,31,3,2024-07-15,2024-07-01,2082,DEMAND,STATISTICAL,MONTHLY,0.88,2,FY24-JUL,July,Q3,2024,919.99
165,31,3,2024-07-15,2024-07-01,1680,DEMAND,STATISTICAL,MONTHLY,0.94,3,FY24-JUL,July,Q3,2024,919.99
166,31,3,2024-08-15,2024-07-01,775,DEMAND,STATISTICAL,MONTHLY,0.8,1,FY24-AUG,August,Q3,2024,919.99
167,31,3,2024-08-15,2024-07-01,887,DEMAND,STATISTICAL,MONTHLY,0.9,2,FY24-AUG,August,Q3,2024,919.99
168,31,3,2024-08-15,2024-07-01,698,DEMAND,STATISTICAL,MONTHLY,0.78,3,FY24-AUG,August,Q3,2024,919.99
169,31,3,2024-09-15,2024-07-01,1077,DEMAND,STATISTICAL,MONTHLY,0.87,1,FY24-SEP,September,Q3,2024,919.99
170,31,3,2024-09-15,2024-07-01,1223,DEMAND,STATISTICAL,MONTHLY,0.79,2,FY24-SEP,September,Q3,2024,919.99
171,31,3,2024-09-15,2024-07-01,969,DEMAND,STATISTICAL,MONTHLY,0.88,3,FY24-SEP,September,Q3,2024,919.99
172,31,3,2024-10-15,2024-07-01,1196,DEMAND,STATISTICAL,MONTHLY,0.85,1,FY24-OCT,October,Q4,2024,919.99
173,31,3,2024-10-15,2024-07-01,1525,DEMAND,STATISTICAL,MONTHLY,0.93,2,FY24-OCT,October,Q4,2024,919.99
174,31,3,2024-10-15,2024-07-01,1076,DEMAND,STATISTICAL,MONTHLY,0.76,3,FY24-OCT,October,Q4,2024,919.99
175,31,3,2024-11-15,2024-07-01,2069,DEMAND,STATISTICAL,MONTHLY,0.83,1,FY24-NOV,November,Q4,2024,919.99
176,31,3,2024-11-15,2024-07-01,2643,DEMAND,STATISTICAL,MONTHLY,0.75,2,FY24-NOV,November,Q4,2024,919.99
177,31,3,2024-11-15,2024-07-01,1862,DEMAND,STATISTICAL,MONTHLY,0.9,3,FY24-NOV,November,Q4,2024,919.99
178,31,3,2024-12-15,2024-07-01,2075,DEMAND,STATISTICAL,MONTHLY,0.95,1,FY24-DEC,December,Q4,2024,919.99
179,31,3,2024-12-15,2024-07-01,2627,DEMAND,STATISTICAL,MONTHLY,0.84,2,FY24-DEC,December,Q4,2024,919.99
180,31,3,2024-12-15,2024-07-01,1867,DEMAND,STATISTICAL,MONTHLY,0.89,3,FY24-DEC,December,Q4,2024,919.99
181,31,4,2024-07-15,2024-07-01,1648,DEMAND,STATISTICAL,MONTHLY,0.75,1,FY24-JUL,July,Q3,2024,919.99
182,31,4,2024-07-15,2024-07-01,1819,DEMAND,STATISTICAL,MONTHLY,0.93,2,FY24-JUL,July,Q3,2024,919.99
183,31,4,2024-07-15,2024-07-01,1483,DEMAND,STATISTICAL,MONTHLY,0.93,3,FY24-JUL,July,Q3,2024,919.99
184,31,4,2024-08-15,2024-07-01,1617,DEMAND,STATISTICAL,MONTHLY,0.76,1,FY24-AUG,August,Q3,2024,919.99
185,31,4,2024-08-15,2024-07-01,1809,DEMAND,STATISTICAL,MONTHLY,0.86,2,FY24-AUG,August,Q3,2024,919.99
186,31,4,2024-08-15,2024-07-01,1455,DEMAND,STATISTICAL,MONTHLY,0.84,3,FY24-AUG,August,Q3,2024,919.99
187,31,4,2024-09-15,2024-07-01,585,DEMAND,STATISTICAL,MONTHLY,0.81,1,FY24-SEP,September,Q3,2024,919.99
188,31,4,2024-09-15,2024-07-01,670,DEMAND,STATISTICAL,MONTHLY,0.91,2,FY24-SEP,September,Q3,2024,919.99
189,31,4,2024-09-15,2024-07-01,526,DEMAND,STATISTICAL,MONTHLY,0.92,3,FY24-SEP,September,Q3,2024,919.99
190,31,4,2024-10-15,2024-07-01,2691,DEMAND,STATISTICAL,MONTHLY,0.82,1,FY24-OCT,October,Q4,2024,919.99
191,31,4,2024-10-15,2024-07-01,3547,DEMAND,STATISTICAL,MONTHLY,0.88,2,FY24-OCT,October,Q4,2024,919.99
192,31,4,2024-10-15,2024-07-01,2422,DEMAND,STATISTICAL,MONTHLY,0.82,3,FY24-OCT,October,Q4,2024,919.99
